,B00300S,B00305A,B00202A,B00702A,B00703A,B00802A,B00714A,B00910A
2022-01-01 00:00:00,"9,5","9,21",234,"6,6","5,5",93,,
2022-01-01 00:10:00,"9,4","9,05",232,"6,2","6,8",93,,
2022-01-01 00:20:00,"9,2","8,93",227,"5,7","5,6",94,,
2022-01-01 00:30:00,"9,2","8,97",223,"5,5","7,3",95,,
2022-01-01 00:40:00,"9,1","9,05",225,"5,1","6,3",95,,
2022-01-01 00:50:00,"9,1","9,07",230,5,6,96,,
2022-01-01 01:00:00,"9,2","8,97",232,"5,7",8,96,,
2022-01-01 01:10:00,"9,3","8,93",227,6,"5,9",96,,
2022-01-01 01:20:00,"9,2","8,9",224,"5,1",7,95,,
2022-01-01 01:30:00,"9,2","8,89",228,"4,9","7,4",96,,
2022-01-01 01:40:00,"9,3","8,86",231,"5,2","6,7",96,,
2022-01-01 01:50:00,"9,4","8,89",240,"5,9","5,7",95,,
2022-01-01 02:00:00,"9,6","9,01",243,"6,1",0,95,,
2022-01-01 02:10:00,"9,6","9,02",241,"5,7","5,8",95,,
2022-01-01 02:20:00,"9,5","9,03",238,"5,4","5,5",95,,
2022-01-01 02:30:00,"9,6","8,97",240,6,"5,5",95,,
2022-01-01 02:40:00,"9,7","9,03",238,"5,6","4,9",96,,
2022-01-01 02:50:00,"9,7","9,04",236,"5,7","4,6",96,,
2022-01-01 03:00:00,"9,7",9,238,"5,6","4,7",96,,
2022-01-01 03:10:00,"9,6","9,1",232,"4,9","7,4",95,,
2022-01-01 03:20:00,"9,3","9,04",219,"4,3","6,1",96,,
2022-01-01 03:30:00,"9,3","8,96",225,"4,5","5,9",96,,
2022-01-01 03:40:00,"9,6","9,11",237,"5,3","5,3",97,,
2022-01-01 03:50:00,"9,9","9,17",244,"6,3","6,3",96,,
2022-01-01 04:00:00,"10,1","9,24",245,"6,2","4,8",96,,
2022-01-01 04:10:00,"10,1","9,29",241,"5,8","4,6",95,,
2022-01-01 04:20:00,10,"9,27",237,"5,5","4,1",95,,
2022-01-01 04:30:00,10,"9,18",235,"5,9","2,9",95,,
2022-01-01 04:40:00,"9,9","9,26",231,"5,5",5,95,,
2022-01-01 04:50:00,"9,7","9,34",218,"4,6","4,9",96,,
2022-01-01 05:00:00,"9,5","9,36",214,"5,4","5,3",96,,
2022-01-01 05:10:00,"9,6","9,44",223,"5,4","6,8",97,,
2022-01-01 05:20:00,"9,7","9,46",234,5,"5,3",97,,
2022-01-01 05:30:00,"9,8","9,41",235,"5,1","5,4",97,,
2022-01-01 05:40:00,10,"9,36",243,"5,9","5,8",97,,
2022-01-01 05:50:00,"10,1","9,42",246,"6,3","5,8",96,,
2022-01-01 06:00:00,"10,2","9,53",240,6,"5,7",96,,
2022-01-01 06:10:00,"9,9","9,28",230,"5,3","4,5",95,,
2022-01-01 06:20:00,"9,6","9,33",215,"5,5","5,7",96,,
2022-01-01 06:30:00,"9,5","9,47",218,"5,6","6,1",96,,
2022-01-01 06:40:00,"9,4","9,27",221,"5,7","4,6",97,,
2022-01-01 06:50:00,"9,5","9,2",221,"5,8","6,5",97,,
2022-01-01 07:00:00,"9,6","9,23",227,5,"6,3",97,,
2022-01-01 07:10:00,"9,5","9,29",228,"4,5","6,3",97,,
2022-01-01 07:20:00,"9,4","9,27",221,"4,6","5,8",97,,
2022-01-01 07:30:00,"9,8","9,25",233,"5,6","5,8",97,,
2022-01-01 07:40:00,10,"9,29",234,"6,1","5,7",96,,
2022-01-01 07:50:00,"10,1","9,35",242,"6,3","6,1",95,,
2022-01-01 08:00:00,10,"9,5",235,"5,7","6,1",95,,
2022-01-01 08:10:00,"9,6","9,45",219,"5,1","6,4",96,,
2022-01-01 08:20:00,"9,5","9,37",221,"5,5","4,3",96,,
2022-01-01 08:30:00,"9,5","9,32",222,"5,6","6,2",96,,
2022-01-01 08:40:00,"9,5","9,45",220,"5,6","5,3",97,,
2022-01-01 08:50:00,"9,6","9,58",220,5,"4,1",97,,
2022-01-01 09:00:00,"9,7","9,63",221,"4,9","6,9",97,,
2022-01-01 09:10:00,"9,7","9,57",216,5,"6,2",97,,
2022-01-01 09:20:00,"9,7","9,93",220,"5,7","6,6",97,,
2022-01-01 09:30:00,"9,7","10,06",217,"5,6","5,6",97,,
2022-01-01 09:40:00,"9,7","9,84",217,"5,2","5,9",97,,
2022-01-01 09:50:00,"9,9","9,81",230,5,"5,3",97,,
2022-01-01 10:00:00,"10,3","9,8",253,"6,4","5,9",97,,
2022-01-01 10:10:00,"10,4","9,87",254,"5,9","3,9",95,,
2022-01-01 10:20:00,"10,5","9,8",248,"6,3",5,94,,
2022-01-01 10:30:00,"10,5","9,93",243,"6,3","5,2",93,,
2022-01-01 10:40:00,"10,5","9,82",242,"6,3","4,2",93,,
2022-01-01 10:50:00,"10,5","9,79",239,"6,1","3,6",94,,
2022-01-01 11:00:00,"10,4","9,74",236,"6,2","3,5",95,,
2022-01-01 11:10:00,"10,5","9,86",244,"6,7",4,95,,
2022-01-01 11:20:00,"10,6","10,07",251,"6,9","6,5",94,,
2022-01-01 11:30:00,"10,6","10,3",256,"6,7","4,2",94,,
2022-01-01 11:40:00,"10,6","10,26",255,"6,3","4,8",93,,
2022-01-01 11:50:00,"10,7","10,24",257,"6,7",4,92,,
2022-01-01 12:00:00,"10,7","10,16",258,"6,5",5,91,,
2022-01-01 12:10:00,"10,9","10,15",262,"6,7","4,8",91,,
2022-01-01 12:20:00,"10,8","10,57",259,"6,8","4,5",92,,
2022-01-01 12:30:00,"10,9","10,88",256,"5,7","4,6",93,,
2022-01-01 12:40:00,"10,8","11,04",257,"5,9","4,9",92,,
2022-01-01 12:50:00,"10,7","10,98",254,"6,2","3,4",92,,
2022-01-01 13:00:00,"10,7","10,94",258,"6,1","4,8",92,,
2022-01-01 13:10:00,"10,8","10,74",260,"5,4","4,7",91,,
2022-01-01 13:20:00,"10,7","10,53",258,"5,4","4,2",91,,
2022-01-01 13:30:00,"10,5","10,24",255,"5,1","5,3",92,,
2022-01-01 13:40:00,"10,5","10,16",256,"5,1","3,3",92,,
2022-01-01 13:50:00,"10,5","10,08",250,"5,7","3,9",92,,
2022-01-01 14:00:00,"10,3","9,97",247,5,0,93,,
2022-01-01 14:10:00,"10,4","9,94",250,"5,6","4,1",93,,
2022-01-01 14:20:00,"10,4","9,86",255,"5,6","3,7",92,,
2022-01-01 14:30:00,"10,4","9,78",256,"5,2","3,8",92,,
2022-01-01 14:40:00,"10,4","9,76",257,"4,9","4,3",91,,
2022-01-01 14:50:00,"10,3","9,62",249,"5,1","3,9",91,,
2022-01-01 15:00:00,"10,1","9,54",252,"5,1","4,2",92,,
2022-01-01 15:10:00,"10,1","9,61",250,"5,5","5,5",93,,
2022-01-01 15:20:00,10,"9,55",250,"5,1","3,6",94,,
2022-01-01 15:30:00,"9,9","9,45",251,"5,4","4,5",94,,
2022-01-01 15:40:00,"9,9","9,42",250,"5,3","3,8",94,,
2022-01-01 15:50:00,10,"9,39",252,"5,6","3,2",93,,
2022-01-01 16:00:00,10,"9,35",253,"5,8","3,6",93,,
2022-01-01 16:10:00,"9,8","9,28",249,"4,1","3,3",94,,
2022-01-01 16:20:00,"9,8","9,21",245,"4,3","4,6",95,,
2022-01-01 16:30:00,"9,9","9,25",251,5,2,94,,
2022-01-01 16:40:00,"9,9","9,28",248,"4,5","2,9",94,,
2022-01-01 16:50:00,"9,8","9,29",252,"4,9","2,8",94,,
2022-01-01 17:00:00,"9,8","9,31",250,"5,2","3,3",94,,
2022-01-01 17:10:00,"9,8","9,1",248,"5,1",4,94,,
2022-01-01 17:20:00,"9,7","9,26",246,"4,9","3,9",94,,
2022-01-01 17:30:00,"9,8","9,24",247,"4,9",0,94,,
2022-01-01 17:40:00,"9,7","9,06",249,"4,7","2,8",94,,
2022-01-01 17:50:00,"9,7","9,06",251,"4,7","2,8",94,,
2022-01-01 18:00:00,"9,7","9,12",253,4,"3,4",94,,
2022-01-01 18:10:00,"9,6","9,05",253,"3,9","3,2",94,,
2022-01-01 18:20:00,"9,6","9,07",255,"3,9","3,5",93,,
2022-01-01 18:30:00,"9,7","9,09",255,"3,9","3,2",94,,
2022-01-01 18:40:00,"9,6","8,99",249,4,"2,7",93,,
2022-01-01 18:50:00,"9,4","8,99",247,"3,4","2,8",93,,
